sitioID;nombre
1;PARQUE LA ROTONDA
2;PARQUE LAS VEGAS
3;JARDIN BOTANICO
4;PARQUE FORESTAL 
5;CERRO JABONCILLO
6;MANGLAR LA BOCA
7;PLAZA ALFARO
8;PARQUE LAS MADRES
9;PARQUE MAMEY
10;PARQUE VICENTE AMADOR FLOR
